"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(FTM)","Value_OUT(FTM)","CurrentValue @ $1.609608/FTM","TxnFee(FTM)","TxnFee(USD)","Historical $Price/FTM","Status","ErrCode","Method",""
"0x468218a55985fe3e231469c4152fa9b02b3647bd8362f7730af0222665b5f6a5","8155858","1645550117","2022-02-22 17:15:17","0x15837c1318ab83d99b19392fd4811813f520d843","0x97837985ec0494e7b9c71f5d3f9250188477ae14","","0","0","0","0.680179","1.094821559832","","","","Upgrade",""
"0x53e17ccdd4979cfabfb4d1da758de0610c7a9cfa5bc94bcbcd9f1749775cd8e2","8155860","1645550131","2022-02-22 17:15:31","0x64247a441cef0b7a46614ac34d046c0fdfe35954","0x97837985ec0494e7b9c71f5d3f9250188477ae14","","0","0","0","0.664789","1.070049692712","","","","Upgrade",""
"0xab7321b1608c969ecd7b88118d5ff5528ee8f354ddf9bdf4dd14cceab2463b4d","8155861","1645550142","2022-02-22 17:15:42","0xee64c8eb48437dbd2d5b8598dc4a3e8a6c8cead9","0x97837985ec0494e7b9c71f5d3f9250188477ae14","","0","0","0","0.664789","1.070049692712","","","","Upgrade",""
"0x0d68f8e772274cd988b00ce158bf758c5eaabc72ddd1d6e389495d9983117ae9","8155862","1645550157","2022-02-22 17:15:57","0xb69f9beeec3e245ea4631b74c222b04e155a5c26","0x97837985ec0494e7b9c71f5d3f9250188477ae14","","0","0","0","1.569221","2.525830675368","","","","Upgrade",""
"0x76e5dae06cb650eb95f38b9655a8a0ae61b690bf4d262359fde3ffba72353508","8159859","1645568120","2022-02-22 22:15:20","0x904b85ae41448dd6a4d0e1c45a40d13643ea8c0f","0x97837985ec0494e7b9c71f5d3f9250188477ae14","","0","0","0","0.6619952322","1.06555282171098","","","","Execute",""
"0x192261236e31d1d2042913ea48b7a400ecdb41681ff022520068a0567278cebf","8161685","1645569857","2022-02-22 22:44:17","0x904b85ae41448dd6a4d0e1c45a40d13643ea8c0f","0x97837985ec0494e7b9c71f5d3f9250188477ae14","","0","0","0","0.2330652744","0.375143730196435","","","","Execute",""
"0xaccab8d92960ba1e2a977990c210c56a6ff00de6798e0619fa3749e07a9a252a","8162325","1645572244","2022-02-22 23:24:04","0xf52bd269116448745a7e13c3d2f299973cf671ab","0x97837985ec0494e7b9c71f5d3f9250188477ae14","","0","0","0","0.081241881072","0.13076758170854","","","","Execute",""
"0xb605d9647f7c78eb9b8ab4572d70634163521727a201f1bcc81331b855a16a40","8162497","1645574608","2022-02-23 00:03:28","0x15837c1318ab83d99b19392fd4811813f520d843","0x97837985ec0494e7b9c71f5d3f9250188477ae14","","0","0","0","0.680617","1.095526568136","","","","Upgrade",""
"0x6c367ce365ea2a31399b3543070fce475d43107e0104c9660e35e9e114436984","8162498","1645574620","2022-02-23 00:03:40","0x64247a441cef0b7a46614ac34d046c0fdfe35954","0x97837985ec0494e7b9c71f5d3f9250188477ae14","","0","0","0","0.665227","1.070754701016","","","","Upgrade",""
"0x69e221ff54f53715e8d6523dedf4e73af1d681616e0dda5665c070f22cf5477e","8162499","1645574634","2022-02-23 00:03:54","0xee64c8eb48437dbd2d5b8598dc4a3e8a6c8cead9","0x97837985ec0494e7b9c71f5d3f9250188477ae14","","0","0","0","0.665227","1.070754701016","","","","Upgrade",""
"0x28ac6c231d95c6fbf19765a401f0211758e8947f9bff3ac83105c54f45dba09f","8162500","1645574635","2022-02-23 00:03:55","0xb69f9beeec3e245ea4631b74c222b04e155a5c26","0x97837985ec0494e7b9c71f5d3f9250188477ae14","","0","0","0","0.665329","1.070918881032","","Error(0)","Reverted","Upgrade",""
"0x00462805fc21fc19d0152d66e6a59b4498fed8ce9d7e070c7f675f66909300ce","8162682","1645575101","2022-02-23 00:11:41","0x15837c1318ab83d99b19392fd4811813f520d843","0x97837985ec0494e7b9c71f5d3f9250188477ae14","","0","0","0","0.680617","1.095526568136","","","","Upgrade",""
"0xac68df3e2b1b5f7055ede0b60a5c82e1943e5e46e9ca38788bb648b4221fb1ba","8162687","1645575126","2022-02-23 00:12:06","0x64247a441cef0b7a46614ac34d046c0fdfe35954","0x97837985ec0494e7b9c71f5d3f9250188477ae14","","0","0","0","0.665227","1.070754701016","","","","Upgrade",""
"0x048a93f655f540da2e0adc3ea319c791947c4cca509ce1a041a87269504da52b","8162690","1645575157","2022-02-23 00:12:37","0xee64c8eb48437dbd2d5b8598dc4a3e8a6c8cead9","0x97837985ec0494e7b9c71f5d3f9250188477ae14","","0","0","0","0.665227","1.070754701016","","","","Upgrade",""
"0xed873291ae97e3dfdb72fc70b0ecfcdce680ea68361816fff6da018d91afeb63","8162692","1645575160","2022-02-23 00:12:40","0xb69f9beeec3e245ea4631b74c222b04e155a5c26","0x97837985ec0494e7b9c71f5d3f9250188477ae14","","0","0","0","0.665329","1.070918881032","","Error(0)","Reverted","Upgrade",""
"0x2697c8a27d421ad88a1ff1c4116208de95becb6965275934e7a51e9f4672dcb2","8162699","1645575318","2022-02-23 00:15:18","0x15837c1318ab83d99b19392fd4811813f520d843","0x97837985ec0494e7b9c71f5d3f9250188477ae14","","0","0","0","0.639295","1.02901434636","","Error(0)","Reverted","Upgrade",""
"0x86019ef7a545633a2c474d557af477a2046d8fefb843e4e628ded71ee54a9f87","8162749","1645576102","2022-02-23 00:28:22","0x15837c1318ab83d99b19392fd4811813f520d843","0x97837985ec0494e7b9c71f5d3f9250188477ae14","","0","0","0","0.639295","1.02901434636","","Error(0)","Reverted","Upgrade",""
"0xd3dfdeff96025aa548a0326eb240aa745a94abced951f4400228f10c25d4c9be","8162769","1645576394","2022-02-23 00:33:14","0x15837c1318ab83d99b19392fd4811813f520d843","0x97837985ec0494e7b9c71f5d3f9250188477ae14","","0","0","0","0.680617","1.095526568136","","","","Upgrade",""
"0xb54d4c2bfce15f0f91a7e3b56ddb2d45b7fe59a83dc64b702d5ed0bea33054b1","8162773","1645576465","2022-02-23 00:34:25","0x64247a441cef0b7a46614ac34d046c0fdfe35954","0x97837985ec0494e7b9c71f5d3f9250188477ae14","","0","0","0","0.665227","1.070754701016","","","","Upgrade",""
"0xbc069da8e37c5f4302bc9a5759e111e791fc02a1b67971077631ca7cb1014959","8162774","1645576476","2022-02-23 00:34:36","0xee64c8eb48437dbd2d5b8598dc4a3e8a6c8cead9","0x97837985ec0494e7b9c71f5d3f9250188477ae14","","0","0","0","0.665227","1.070754701016","","","","Upgrade",""
"0x3f5cc6527f9aec4cedf2297b61548361bc2a0178508e1cfc8f5bfa8d0163ace5","8162777","1645576483","2022-02-23 00:34:43","0xb69f9beeec3e245ea4631b74c222b04e155a5c26","0x97837985ec0494e7b9c71f5d3f9250188477ae14","","0","0","0","0.667579","1.074540499032","","Error(0)","Reverted","Upgrade",""
"0x9ed41d0223650c6b3ed74aec91d4b10fce25442898dc9e25fb8bb4256d31dcce","8162932","1645578127","2022-02-23 01:02:07","0x15837c1318ab83d99b19392fd4811813f520d843","0x97837985ec0494e7b9c71f5d3f9250188477ae14","","0","0","0","0.680617","1.095526568136","","","","Upgrade",""
"0x779292efb1c8acc308134eaf621f27d7793c13c325902aea9de79a8081cde8ac","8162933","1645578137","2022-02-23 01:02:17","0x64247a441cef0b7a46614ac34d046c0fdfe35954","0x97837985ec0494e7b9c71f5d3f9250188477ae14","","0","0","0","0.665227","1.070754701016","","","","Upgrade",""
"0xc1c07d40faf762d743616d146fb5fcd4e276ec95e679a7e5662b55d3dae0ef15","8162935","1645578147","2022-02-23 01:02:27","0xee64c8eb48437dbd2d5b8598dc4a3e8a6c8cead9","0x97837985ec0494e7b9c71f5d3f9250188477ae14","","0","0","0","0.665227","1.070754701016","","","","Upgrade",""
"0x4a65bb4f8850edefdd9bab713130cf61ee9745fac250fd24d41ff0d861ddec14","8162936","1645578158","2022-02-23 01:02:38","0xb69f9beeec3e245ea4631b74c222b04e155a5c26","0x97837985ec0494e7b9c71f5d3f9250188477ae14","","0","0","0","1.56502","2.51906871216","","","","Upgrade",""
"0x15afbc8e21134cd29ac62f2c616e8edd57e341d8246a57860645ada856196beb","8162945","1645578328","2022-02-23 01:05:28","0xf52bd269116448745a7e13c3d2f299973cf671ab","0x97837985ec0494e7b9c71f5d3f9250188477ae14","","0","0","0","0.2456225646","0.395356044960677","","","","Execute",""
"0x7cab323649c194f37a981ab05bbb10a33346f2c4753d04f5e26f22820ba6c020","8162947","1645578357","2022-02-23 01:05:57","0xf52bd269116448745a7e13c3d2f299973cf671ab","0x97837985ec0494e7b9c71f5d3f9250188477ae14","","0","0","0","0.0567696303576","0.0913768511806358","","","","Execute",""
"0x108811d82628b03f5677700a9d827596eca2d652c61d92db8f0bcd2fc52e0489","8162952","1645578500","2022-02-23 01:08:20","0xf52bd269116448745a7e13c3d2f299973cf671ab","0x97837985ec0494e7b9c71f5d3f9250188477ae14","","0","0","0","0.0551413147554","0.0887559013608099","","","","Execute",""
